elevator_id,location,license_status,license_expiry
11069,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,ACTIVE,2017-11-03
11070,250 UNIVERSITY AVE  TORONTO M5H 3E5 ON CA,ACTIVE,2017-11-03
11078,700 ONTARIO ST  TORONTO M4X 1N2 ON CA,ACTIVE,2016-12-15
11079,700 ONTARIO ST  TORONTO M4X 1N2 ON CA,ACTIVE,2016-12-15
11080,700 ONTARIO ST  TORONTO M4X 1N2 ON CA,ACTIVE,2016-12-15
11081,384 ADELAIDE ST W  TORONTO M5V 1R7 ON CA,ACTIVE,2017-04-15
11085,95 SAINT JOSEPH ST  TORONTO M5S 2R9 ON CA,ACTIVE,2017-05-15
11089,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,ACTIVE,2017-07-31
11090,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,ACTIVE,2017-07-31
11091,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,ACTIVE,2017-07-31
11092,80 RICHMOND ST W  TORONTO M5H 2A4 ON CA,ACTIVE,2017-07-31
11093,51 WOLSELEY ST  TORONTO M5T 1A4 ON CA,ACTIVE,2017-09-06
11096,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,PENDING_RENEWAL,2017-05-15
11097,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,PENDING_RENEWAL,2017-05-15
11098,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,PENDING_RENEWAL,2017-05-15
11099,76 ADELAIDE ST W  TORONTO M5H 1P6 ON CA,PENDING_RENEWAL,2017-05-15
11101,1030 DUFFERIN ST  TORONTO M6H 4B6 ON CA,ACTIVE,2017-09-15
11103,15 ASQUITH AVE  TORONTO M4W 1J7 ON CA,ACTIVE,2017-02-15
11104,15 ASQUITH AVE  TORONTO M4W 1J7 ON CA,ACTIVE,2016-12-17
11106,72 EGLINTON AVE E  TORONTO M4P 1A6 ON CA,ACTIVE,2017-05-15
11107,375 UNIVERSITY AVE  TORONTO M5G 2G1 ON CA,ACTIVE,2017-02-15
11108,27 WALMER RD  TORONTO M5R 2W7 ON CA,ACTIVE,2017-09-15
11109,221 RUSSELL HILL RD  TORONTO M4V 2T3 ON CA,ACTIVE,2017-07-15
11110,22 WOODLAWN AVE E  TORONTO M4T 1C1 ON CA,ACTIVE,2017-06-15
11111,5 BENLAMOND AV  TORONTO M4E 1Y8 ON CA,ACTIVE,2017-03-15
11112,1 BENVENUTO PL  TORONTO M4V 2L1 ON CA,ACTIVE,2017-06-15
11116,23 ORIOLE RD  TORONTO M4V 2E6 ON CA,ACTIVE,2017-01-15
11117,220 EGLINTON AVE E  TORONTO M4P 1K4 ON CA,ACTIVE,2017-09-15
11118,220 EGLINTON AVE E  TORONTO M4P 1K4 ON CA,ACTIVE,2017-09-15
11126,117 BROADWAY AVE  TORONTO M4P 1V3 ON CA,ACTIVE,2017-02-04
11127,42 GLEN ELM AVE  TORONTO M4T 1T7 ON CA,ACTIVE,2017-04-16
11130,477 MOUNT PLEASANT RD  TORONTO M4S 2L9 ON CA,ACTIVE,2017-05-15
11131,477 MOUNT PLEASANT RD  TORONTO M4S 2L9 ON CA,ACTIVE,2017-05-15
