ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
1281,1144 1ST AVE W  OWEN SOUND N4K 4K9 ON CA,EDLIC-001281,CANCELLED_NOT_RENEWED,15-Jul-96,BLACK CLAWSON-KENNEDY LTD,data redacted,1144 FIRST AVE W  OWEN SOUND ON N4K 4K9 CA,BLACK CLAWSON-KENNEDY LTD,"1144 FIRST AVE W  OWEN SOUND, ON, N4K 4K9, CA",data redacted
12812,214 COLLEGE ST  TORONTO M5S 3E5 ON CA,EDLIC-012812,ACTIVE,05-Jun-17,UNIVERSITY OF TORONTO FACILITIES & SERVICES,data redacted,255 MCCAUL ST 4TH FLOOR TORONTO ON M5T 1W7 CA,UNIVERSITY OF TORONTO FACILITIES & SERVICES,"255 MCCAUL ST 4TH FLOOR TORONTO, ON, M5T 1W7, CA",data redacted
12815,40 ST CLAIR AVE E  TORONTO M4T 1M9 ON CA,EDLIC-012815,ACTIVE,18-Jan-17,TORONTO PUBLIC LIBRARY,data redacted,40 ORCHARD VIEW BLVD SUITE 101 TORONTO ON M4R 1B9 CA,TORONTO PUBLIC LIBRARY,"40 ORCHARD VIEW BLVD SUITE 101 TORONTO, ON, M4R 1B9, CA",data redacted
12816,399 BATHURST ST  TORONTO M5T 2S8 ON CA,EDLIC-012816,ACTIVE,18-Oct-17,UNIVERSITY HEALTH NETWORK,data redacted,"200 ELIZABETH ST 2F, RFE BUILDING TORONTO ON M5G 2C4 CA",UNIVERSITY HEALTH NETWORK,"200 ELIZABETH ST 2F, RFE BUILDING TORONTO, ON, M5G 2C4, CA",data redacted
12818,20 MAUD ST  TORONTO M5V 2M5 ON CA,EDLIC-012818,ACTIVE,15-Dec-16,20 MAUD STREET INVESTMENTS INC C/O 1027285 ONTARIO LTD,data redacted,20 MAUD ST SUITE 500 TORONTO ON M5V 2M5 CA,20 MAUD STREET INVESTMENTS INC C/O 1027285 ONTARIO LTD,"20 MAUD ST SUITE 500 TORONTO, ON, M5V 2M5, CA",data redacted
12821,24 TYNDALL AV  TORONTO M6K 2E3 ON CA,EDLIC-012821,ACTIVE,15-Aug-17,596759 ONTARIO INC,data redacted,330 DUPONT ST 2ND FLOOR TORONTO ON M5R 1V9 CA,596759 ONTARIO INC,"330 DUPONT ST 2ND FLOOR TORONTO, ON, M5R 1V9, CA",data redacted
12822,24 TYNDALL AV  TORONTO M6K 2E3 ON CA,EDLIC-012822,ACTIVE,15-Aug-17,596759 ONTARIO INC,data redacted,330 DUPONT ST 2ND FLOOR TORONTO ON M5R 1V9 CA,596759 ONTARIO INC,"330 DUPONT ST 2ND FLOOR TORONTO, ON, M5R 1V9, CA",data redacted
12823,74 WELLESLEY ST W  TORONTO M5S 1C4 ON CA,EDLIC-012823,ACTIVE,15-Jun-17,TORONTO CATHOLIC DISTRICT SCHOOL BOARD,data redacted,80 SHEPPARD AVE E  TORONTO ON M2N 6E8 CA,TORONTO CATHOLIC DISTRICT SCHOOL BOARD,"80 SHEPPARD AVE E  TORONTO, ON, M2N 6E8, CA",data redacted
12826,33 BRITAIN ST  TORONTO M5A 1R7 ON CA,EDLIC-012826,TERMINATED,17-Jan-17,AVHAR PROPERTIES LTD,data redacted,33 BRITAIN ST Suite 300 TORONTO ON M5A 1R7 CA,AVHAR PROPERTIES LTD,"33 BRITAIN ST Suite 300 TORONTO, ON, M5A 1R7, CA",data redacted
12828,76 RICHMOND ST E  TORONTO M5C 1P1 ON CA,EDLIC-012828,CANCELLED_NOT_RENEWED,15-Apr-16,BUCKAREFF PROPERTIES INC,data redacted,76 RICHMOND ST E Suite 200 TORONTO ON M5C 1P1 CA,BUCKAREFF PROPERTIES INC,"76 RICHMOND ST E Suite 200 TORONTO, ON, M5C 1P1, CA",data redacted
12829,135 STEPHEN DR  ETOBICOKE M8Y 3N5 ON CA,EDLIC-012829,ACTIVE,15-Jun-17,RUBADO CONSTRUCTION CO LTD,data redacted,3625 DUFFERIN ST STE 409 DOWNSVIEW ON M3K 1N4 CA,RUBADO CONSTRUCTION CO LTD,"3625 DUFFERIN ST STE 409 DOWNSVIEW, ON, M3K 1N4, CA",data redacted
12830,730 ONTARIO ST  TORONTO M4X 1N3 ON CA,EDLIC-012830,ACTIVE,15-Dec-16,BARDUN TOWERS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,BARDUN TOWERS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
12831,730 ONTARIO ST  TORONTO M4X 1N3 ON CA,EDLIC-012831,ACTIVE,15-Dec-16,BARDUN TOWERS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,BARDUN TOWERS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
12832,730 ONTARIO ST  TORONTO M4X 1N3 ON CA,EDLIC-012832,ACTIVE,15-Dec-16,BARDUN TOWERS,data redacted,4122 BATHURST ST  TORONTO ON M3H 3P2 CA,BARDUN TOWERS,"4122 BATHURST ST  TORONTO, ON, M3H 3P2, CA",data redacted
12833,115 TYNDALL AV  TORONTO M6K 2G3 ON CA,EDLIC-012833,ACTIVE,15-Feb-17,115 TYNDALL AVENUE,data redacted,115 TYNDALL AV  TORONTO ON M6K 2G3 CA,115 TYNDALL AVENUE,"3280 BLOOR ST W CENTRE TOWER TORONTO, ON, M8X 2X3, CA",data redacted
12834,300 ST CLAIR AVE W  TORONTO M4V 1S4 ON CA,EDLIC-012834,ACTIVE,15-May-17,CLAIRHAVEN LTD O/A ST CLAIR AV WEST C/O REALSTAR MGT PARTNERSHIP,data redacted,77 BLOOR ST W SUITE 2000 TORONTO ON M5S 1M2 CA,CLAIRHAVEN LTD O/A ST CLAIR AV WEST C/O REALSTAR MGT PARTNERSHIP,"77 BLOOR ST W SUITE 2000 TORONTO, ON, M5S 1M2, CA",data redacted
12835,115 TYNDALL AV  TORONTO M6K 2G3 ON CA,EDLIC-012835,ACTIVE,15-Feb-17,115 TYNDALL AVENUE,data redacted,115 TYNDALL AV  TORONTO ON M6K 2G3 CA,115 TYNDALL AVENUE,"3280 BLOOR ST W CENTRE TOWER TORONTO, ON, M8X 2X3, CA",data redacted
12837,165 UNIVERSITY AVE  TORONTO M5H 3B9 ON CA,205571,ACTIVE,10-Feb-17,EL FINANCIAL CORPORATION LTD,data redacted,165 UNIVERSITY AVE  TORONTO ON M5H 3B9 CA,EL FINANCIAL CORPORATION LTD,"165 UNIVERSITY AVE  TORONTO, ON, M5H 3B9, CA",data redacted
1284,7476 TALBOT TRAIL  CEDAR SPRINGS N0P 1E0 ON CA,EDLIC-001284,BY REQUEST,15-Apr-05,CHATHAM-KENT PUC BLENHEIM AREA WATER SYSTEM,data redacted,7476 TALBOT TRAIL RR 1 BLENHEIM ON N0P 1A0 CA,CHATHAM-KENT PUC BLENHEIM AREA WATER SYSTEM,"7476 TALBOT TRAIL RR 1 BLENHEIM, ON, N0P 1A0, CA",data redacted
12840,365 BAY ST  TORONTO M5H 2V1 ON CA,EDLIC-012840,ACTIVE,15-Oct-17,365 BAY STREET INC,data redacted,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO ON M5H 2Y4 CA",365 BAY STREET INC,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO, ON, M5H 2Y4, CA",data redacted
12841,365 BAY ST  TORONTO M5H 2V1 ON CA,EDLIC-012841,ACTIVE,15-Oct-17,365 BAY STREET INC,data redacted,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO ON M5H 2Y4 CA",365 BAY STREET INC,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO, ON, M5H 2Y4, CA",data redacted
12842,365 BAY ST  TORONTO M5H 2V1 ON CA,EDLIC-012842,ACTIVE,15-Oct-17,365 BAY STREET INC,data redacted,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO ON M5H 2Y4 CA",365 BAY STREET INC,"401 BAY ST, SIMPSON TOWER 11TH FLOOR, MAIL BOX 11 TORONTO, ON, M5H 2Y4, CA",data redacted
12844,105 RAGLAN AVE  TATRA CHALET  TORONTO M6C 2K7 ON CA,EDLIC-012844,ACTIVE,15-Nov-17,DOMENIC PERSECHINI,data redacted,105 RAGLAN AV STE 101 TORONTO ON M6C 2K7 CA,DOMENIC PERSECHINI,"105 RAGLAN AV STE 101 TORONTO, ON, M6C 2K7, CA",data redacted
12845,2001 EGLINTON AVE E  SCARBOROUGH M1L 2M9 ON CA,EDLIC-012845,CANCELLED_NOT_RENEWED,15-Apr-98,ONTARIO REALTY CORPORATION,data redacted,770 DON MILLS ROAD ATTN:  FACILITY MANAGER NORTH YORK ON M3C 1T3 CA,ONTARIO REALTY CORPORATION,"770 DON MILLS ROAD ATTN:  FACILITY MANAGER NORTH YORK, ON, M3C 1T3, CA",data redacted
12846,399 BATHURST ST  TORONTO M5T 2S8 ON CA,EDLIC-012846,ACTIVE,15-May-17,UNIVERSITY HEALTH NETWORK,data redacted,"200 ELIZABETH ST 2F, RFE BUILDING TORONTO ON M5G 2C4 CA",UNIVERSITY HEALTH NETWORK,"200 ELIZABETH ST 2F, RFE BUILDING TORONTO, ON, M5G 2C4, CA",data redacted
12847,399 BATHURST ST  TORONTO M5T 2S8 ON CA,EDLIC-012847,ACTIVE,15-May-17,UNIVERSITY HEALTH NETWORK,data redacted,"200 ELIZABETH ST 2F, RFE BUILDING TORONTO ON M5G 2C4 CA",UNIVERSITY HEALTH NETWORK,"200 ELIZABETH ST 2F, RFE BUILDING TORONTO, ON, M5G 2C4, CA",data redacted
12848,165 UNIVERSITY AVE  TORONTO M5H 3B9 ON CA,205572,ACTIVE,10-Feb-17,EL FINANCIAL CORPORATION LTD,data redacted,165 UNIVERSITY AVE  TORONTO ON M5H 3B9 CA,EL FINANCIAL CORPORATION LTD,"165 UNIVERSITY AVE  TORONTO, ON, M5H 3B9, CA",data redacted
12849,165 UNIVERSITY AVE  TORONTO M5H 3B9 ON CA,205573,ACTIVE,10-Feb-17,EL FINANCIAL CORPORATION LTD,data redacted,165 UNIVERSITY AVE  TORONTO ON M5H 3B9 CA,EL FINANCIAL CORPORATION LTD,"165 UNIVERSITY AVE  TORONTO, ON, M5H 3B9, CA",data redacted
12850,165 UNIVERSITY AVE  TORONTO M5H 3B9 ON CA,205574,ACTIVE,10-Feb-17,EL FINANCIAL CORPORATION LTD,data redacted,165 UNIVERSITY AVE  TORONTO ON M5H 3B9 CA,EL FINANCIAL CORPORATION LTD,"165 UNIVERSITY AVE  TORONTO, ON, M5H 3B9, CA",data redacted
12851,165 UNIVERSITY AVE  TORONTO M5H 3B9 ON CA,205575,ACTIVE,10-Feb-17,EL FINANCIAL CORPORATION LTD,data redacted,165 UNIVERSITY AVE  TORONTO ON M5H 3B9 CA,EL FINANCIAL CORPORATION LTD,"165 UNIVERSITY AVE  TORONTO, ON, M5H 3B9, CA",data redacted
12852,9 HALDON AV  TORONTO M4C 4P5 ON CA,EDLIC-012852,ACTIVE,15-Sep-17,TORONTO COMMUNITY HOUSING CORPORATION,data redacted,35 CARL HALL RD SUITE 4 TORONTO ON M3K 2B6 CA,TORONTO COMMUNITY HOUSING CORPORATION,"35 CARL HALL RD SUITE 4 TORONTO, ON, M3K 2B6, CA",data redacted
12853,9 HALDON AV  TORONTO M4C 4P5 ON CA,EDLIC-012853,ACTIVE,15-Sep-17,TORONTO COMMUNITY HOUSING CORPORATION,data redacted,35 CARL HALL RD SUITE 4 TORONTO ON M3K 2B6 CA,TORONTO COMMUNITY HOUSING CORPORATION,"35 CARL HALL RD SUITE 4 TORONTO, ON, M3K 2B6, CA",data redacted
12854,50 EGLINTON AVE E  TORONTO M4P 1A6 ON CA,265444,ACTIVE,15-May-17,BELL CANADA,data redacted,5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA ON L4W 0B6 CA,BELL CANADA,"5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA, ON, L4W 0B6, CA",data redacted
12855,50 EGLINTON AVE E  TORONTO M4P 1A6 ON CA,EDLIC-012855,ACTIVE,15-May-17,BELL CANADA,data redacted,5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA ON L4W 0B6 CA,BELL CANADA,"5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA, ON, L4W 0B6, CA",data redacted
12856,50 EGLINTON AVE E  TORONTO M4P 1A6 ON CA,265445,ACTIVE,15-May-17,BELL CANADA,data redacted,5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA ON L4W 0B6 CA,BELL CANADA,"5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA, ON, L4W 0B6, CA",data redacted
12857,50 EGLINTON AVE E  TORONTO M4P 1A6 ON CA,265447,ACTIVE,15-May-17,BELL CANADA,data redacted,5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA ON L4W 0B6 CA,BELL CANADA,"5025 CREEKBANK RD 5TH FLOOR MISSISSAUGA, ON, L4W 0B6, CA",data redacted
12858,50 EGLINTON AVE E  TORONTO M4P 1A6 ON CA,EDLIC-012858,ACTIVE,15-May-17,BELL CANADA,data redacted,1260 DON MILLS RD BSMT TORONTO ON M3B2W6 CA,BELL CANADA,"1260 DON MILLS RD BSMT TORONTO, ON, M3B2W6, CA",data redacted
12859,10 TRUDELLE ST  SCARBOROUGH M1J 1Y9 ON CA,EDLIC-012859,ACTIVE,15-Sep-17,10 TRUDELLE APARTMENTS LIMITED,data redacted,2828 BATHURST ST SUITE 600 TORONTO ON M6B 3A7 CA,10 TRUDELLE APARTMENTS LIMITED,"2828 BATHURST ST SUITE 600 TORONTO, ON, M6B 3A7, CA",data redacted
12860,20 TRUDELLE ST  SCARBOROUGH M1J 1Z1 ON CA,EDLIC-012860,ACTIVE,15-Sep-17,10 TRUDELLE APARTMENTS LIMITED,data redacted,2828 BATHURST ST SUITE 600 TORONTO ON M6B 3A7 CA,10 TRUDELLE APARTMENTS LIMITED,"2828 BATHURST ST SUITE 600 TORONTO, ON, M6B 3A7, CA",data redacted
12862,56 THORNCLIFFE PARK DR  TORONTO M4H 1K7 ON CA,EDLIC-012862,ACTIVE,15-May-17,MOHICAN HOLDINGS LTD,data redacted,16 ESNA PARK DR SUITE 200 MARKHAM ON L3R 5X1 CA,MOHICAN HOLDINGS LTD,"16 ESNA PARK DR SUITE 200 MARKHAM, ON, L3R 5X1, CA",data redacted
12863,58 THORNCLIFFE PARK DR  TORONTO M4H 1K8 ON CA,EDLIC-012863,ACTIVE,15-May-17,MOHICAN HOLDINGS LTD,data redacted,16 ESNA PARK DR SUITE 200 MARKHAM ON L3R 5X1 CA,MOHICAN HOLDINGS LTD,"16 ESNA PARK DR SUITE 200 MARKHAM, ON, L3R 5X1, CA",data redacted
12865,2001 EGLINTON AVE E  SCARBOROUGH M1L 2M9 ON CA,EDLIC-012865,CANCELLED_NOT_RENEWED,15-Apr-98,ONTARIO REALTY CORPORATION,data redacted,770 DON MILLS ROAD ATTN:  FACILITY MANAGER NORTH YORK ON M3C 1T3 CA,ONTARIO REALTY CORPORATION,"770 DON MILLS ROAD ATTN:  FACILITY MANAGER NORTH YORK, ON, M3C 1T3, CA",data redacted
12866,191 KENILWORTH AV  TORONTO M4L 3S7 ON CA,EDLIC-012866,ACTIVE,15-Apr-17,LINCOLN APARTMENTS LTD,data redacted,4190 BATHURST ST UNIT 907 TORONTO ON M3H 3P9 CA,LINCOLN APARTMENTS LTD,"4190 BATHURST ST UNIT 907 TORONTO, ON, M3H 3P9, CA",data redacted
12867,16 RIVERWOOD PKY  ETOBICOKE M8Y 4E1 ON CA,EDLIC-012867,ACTIVE,15-Sep-17,WESTGATE APARTMENTS OFFICE,data redacted,16 RIVERWOOD PKWY  ETOBICOKE ON M8Y 4E1 CA,WESTGATE APARTMENTS OFFICE,"16 RIVERWOOD PKWY  ETOBICOKE, ON, M8Y 4E1, CA",data redacted
12868,80 QUEEN'S PARK  TORONTO M5S 2C5 ON CA,EDLIC-012868,ACTIVE,15-Jul-17,UNIVERSITY OF TORONTO FACILITIES & SERVICES,data redacted,255 MCCAUL ST 4TH FLOOR TORONTO ON M5T 1W7 CA,UNIVERSITY OF TORONTO FACILITIES & SERVICES,"255 MCCAUL ST 4TH FLOOR TORONTO, ON, M5T 1W7, CA",data redacted
12870,1704 VICTORIA PARK AVE  NORTH YORK M1R 1R5 ON CA,EDLIC-012870,ACTIVE,15-Nov-17,PARKWAY REALTY LTD,data redacted,2828 BATHURST ST SUITE 600 TORONTO ON M6B 3A7 CA,PARKWAY REALTY LTD,"2828 BATHURST ST SUITE 600 TORONTO, ON, M6B 3A7, CA",data redacted
12871,1704 VICTORIA PARK AVE  NORTH YORK M1R 1R5 ON CA,EDLIC-012871,ACTIVE,15-Nov-17,PARKWAY REALTY LTD,data redacted,2828 BATHURST ST SUITE 600 TORONTO ON M6B 3A7 CA,PARKWAY REALTY LTD,"2828 BATHURST ST SUITE 600 TORONTO, ON, M6B 3A7, CA",data redacted
12872,80 QUEEN'S PARK  TORONTO M5S 2C5 ON CA,EDLIC-012872,ACTIVE,15-Jul-17,UNIVERSITY OF TORONTO FACILITIES & SERVICES,data redacted,255 MCCAUL ST 4TH FLOOR TORONTO ON M5T 1W7 CA,UNIVERSITY OF TORONTO FACILITIES & SERVICES,"255 MCCAUL ST 4TH FLOOR TORONTO, ON, M5T 1W7, CA",data redacted
12874,105 ADELAIDE ST W  TORONTO M5H 1P9 ON CA,169989,ACTIVE,12-Oct-17,105 ADELAIDE (BOPC) INC,data redacted,130 KING ST W SUITE 1310 TORONTO ON M5X 1A9 CA,105 ADELAIDE (BOPC) INC,"130 KING ST W SUITE 1310 TORONTO, ON, M5X 1A9, CA",data redacted
12875,2256 LAKE SHORE BLVD W  ETOBICOKE M8V 1A9 ON CA,EDLIC-012875,ACTIVE,15-Dec-16,ALL CANADIAN SELF-STORAGE,data redacted,266 KING ST W Suite 405 TORONTO ON M5V 1H8 CA,ALL CANADIAN SELF-STORAGE,"266 KING ST W Suite 405 TORONTO, ON, M5V 1H8, CA",data redacted
12876,105 ADELAIDE ST W  TORONTO M5H 1P9 ON CA,169986,ACTIVE,12-Oct-17,105 ADELAIDE (BOPC) INC,data redacted,130 KING ST W SUITE 1310 TORONTO ON M5X 1A9 CA,105 ADELAIDE (BOPC) INC,"130 KING ST W SUITE 1310 TORONTO, ON, M5X 1A9, CA",data redacted
12877,105 ADELAIDE ST W  TORONTO M5H 1P9 ON CA,169984,ACTIVE,12-Oct-17,105 ADELAIDE (BOPC) INC,data redacted,130 KING ST W SUITE 1310 TORONTO ON M5X 1A9 CA,105 ADELAIDE (BOPC) INC,"130 KING ST W SUITE 1310 TORONTO, ON, M5X 1A9, CA",data redacted
12878,105 ADELAIDE ST W  TORONTO M5H 1P9 ON CA,169988,ACTIVE,12-Oct-17,105 ADELAIDE (BOPC) INC,data redacted,130 KING ST W SUITE 1310 TORONTO ON M5X 1A9 CA,105 ADELAIDE (BOPC) INC,"130 KING ST W SUITE 1310 TORONTO, ON, M5X 1A9, CA",data redacted
12879,105 ADELAIDE ST W  TORONTO M5H 1P9 ON CA,169990,ACTIVE,12-Oct-17,105 ADELAIDE (BOPC) INC,data redacted,130 KING ST W SUITE 1310 TORONTO ON M5X 1A9 CA,105 ADELAIDE (BOPC) INC,"130 KING ST W SUITE 1310 TORONTO, ON, M5X 1A9, CA",data redacted
12880,105 ADELAIDE ST W  TORONTO M5H 1P9 ON CA,169983,ACTIVE,12-Oct-17,105 ADELAIDE (BOPC) INC,data redacted,130 KING ST W SUITE 1310 TORONTO ON M5X 1A9 CA,105 ADELAIDE (BOPC) INC,"130 KING ST W SUITE 1310 TORONTO, ON, M5X 1A9, CA",data redacted
12881,45 GREENCREST CIRCUIT  SCARBOROUGH M1G 1B9 ON CA,211421,ACTIVE,15-Jun-17,672278 ONTARIO LTD,data redacted,3280 BLOOR ST W CENTRE TOWER TORONTO ON M8X 2X3 CA,672278 ONTARIO LTD,"3280 BLOOR ST W CENTRE TOWER TORONTO, ON, M8X 2X3, CA",data redacted
12882,70 STEVENVALE DR  SCARBOROUGH M1G 1E1 ON CA,182422,ACTIVE,02-Nov-17,672278 ONTARIO LTD,data redacted,3280 BLOOR ST W CENTRE TOWER TORONTO ON M8X 2X3 CA,672278 ONTARIO LTD,"3280 BLOOR ST W CENTRE TOWER TORONTO, ON, M8X 2X3, CA",data redacted
12883,831 KENNEDY RD  SCARBOROUGH M1K 2E3 ON CA,169668,ACTIVE,17-Nov-17,CYMAR RESIDENCES INC,data redacted,2795 BATHURST ST PO BOX 41009 TORONTO ON M6B 4J6 CA,CYMAR RESIDENCES INC,"2795 BATHURST ST PO BOX 41009 TORONTO, ON, M6B 4J6, CA",data redacted
12884,833 KENNEDY RD  SCARBOROUGH M1K 2E3 ON CA,200859,ACTIVE,16-Oct-17,TIMBERCREEK ASSET MANAGEMENT INC,data redacted,1000 YONGE ST SUITE 500 TORONTO ON M4W 2K2 CA,TIMBERCREEK ASSET MANAGEMENT INC,"1000 YONGE ST SUITE 500 TORONTO, ON, M4W 2K2, CA",data redacted
12885,2 ANCONA ST  WILLOWDALE M2R 2H1 ON CA,EDLIC-012885,PENDING_RENEWAL,15-Apr-17,R & ML DI MANNO,data redacted,37 SHARPCROFT BLVD  DOWNSVIEW ON M3J 3E9 CA,R & ML DI MANNO,"37 SHARPCROFT BLVD  DOWNSVIEW, ON, M3J 3E9, CA",data redacted
12886,14 GULLIVER RD  TORONTO M6M 2M7 ON CA,EDLIC-012886,ACTIVE,15-Mar-17,CERASE HOLDINGS LIMITED,data redacted,57 GOLFWOOD HGTS  TORONTO ON M9P 3L8 CA,CERASE HOLDINGS LIMITED,"57 GOLFWOOD HGTS  TORONTO, ON, M9P 3L8, CA",data redacted
12887,35 TRUDELLE ST  SCARBOROUGH M1J 1Z5 ON CA,EDLIC-012887,ACTIVE,15-Jan-17,CHELSANDY DEVELOPMENTS LTD,data redacted,85 SPY CRT SUITE 100 MARKHAM ON L3R 4Z4 CA,CHELSANDY DEVELOPMENTS LTD,"85 SPY CRT SUITE 100 MARKHAM, ON, L3R 4Z4, CA",data redacted
12888,45 TRUDELLE ST  SCARBOROUGH M1J 1Z6 ON CA,EDLIC-012888,ACTIVE,15-Aug-17,CHELSANDY DEVELOPMENTS LTD,data redacted,85 SPY CRT SUITE 100 MARKHAM ON L3R 4Z4 CA,CHELSANDY DEVELOPMENTS LTD,"85 SPY CRT SUITE 100 MARKHAM, ON, L3R 4Z4, CA",data redacted
12889,25 TRUDELLE ST  SCARBOROUGH M1J 1Z4 ON CA,257758,ACTIVE,15-Jan-17,CHELSANDY DEVELOPMENTS LTD,data redacted,85 SPY CRT SUITE 100 MARKHAM ON L3R 4Z4 CA,CHELSANDY DEVELOPMENTS LTD,"85 SPY CRT SUITE 100 MARKHAM, ON, L3R 4Z4, CA",data redacted
12898,567 RIDELLE AV  TORONTO M6B 1L1 ON CA,EDLIC-012898,ACTIVE,15-Dec-16,RIDELLE CO-OPERATIVE HOMES INC,data redacted,567 RIDELLE AVE UNIT 100 TORONTO ON M6B 1L1 CA,RIDELLE CO-OPERATIVE HOMES INC,"567 RIDELLE AVE UNIT 100 TORONTO, ON, M6B 1L1, CA",data redacted
12899,821 KENNEDY RD  SCARBOROUGH M1K 2E5 ON CA,253254,ACTIVE,01-Sep-17,1911715 ONTARIO INC,data redacted,55 NUGGET AVE- SUITE 218  SCARBOROUGH ON M1S 3L1 CA,1911715 ONTARIO INC,"55 NUGGET AVE- SUITE 218  SCARBOROUGH, ON, M1S 3L1, CA",data redacted
12901,207 MORNINGSIDE AVE  SCARBOROUGH M1E 3E3 ON CA,265936,ACTIVE,15-May-17,"MCM FUND II (MORNINGSIDE), GP INC.",data redacted,200-180 KENT STREET  OTTAWA ON K1P 0B6 CA,"MCM FUND II (MORNINGSIDE), GP INC.","200-180 KENT STREET  OTTAWA, ON, K1P 0B6, CA",data redacted
12902,207 MORNINGSIDE AVE  SCARBOROUGH M1E 3E3 ON CA,265932,ACTIVE,15-May-17,"MCM FUND II (MORNINGSIDE), GP INC.",data redacted,200-180 KENT STREET  OTTAWA ON K1P 0B6 CA,"MCM FUND II (MORNINGSIDE), GP INC.","200-180 KENT STREET  OTTAWA, ON, K1P 0B6, CA",data redacted
12903,205 MORNINGSIDE AVE  SCARBOROUGH M1E 3E2 ON CA,265931,ACTIVE,15-May-17,"MCM FUND II (MORNINGSIDE), GP INC.",data redacted,200-180 KENT STREET  OTTAWA ON K1P 0B6 CA,"MCM FUND II (MORNINGSIDE), GP INC.","200-180 KENT STREET  OTTAWA, ON, K1P 0B6, CA",data redacted
12904,205 MORNINGSIDE AVE  SCARBOROUGH M1E 3E2 ON CA,265930,ACTIVE,15-May-17,"MCM FUND II (MORNINGSIDE), GP INC.",data redacted,200-180 KENT STREET  OTTAWA ON K1P 0B6 CA,"MCM FUND II (MORNINGSIDE), GP INC.","200-180 KENT STREET  OTTAWA, ON, K1P 0B6, CA",data redacted
12906,91 SPENCER AVE  TORONTO M6K 2K5 ON CA,EDLIC-012906,ACTIVE,23-Dec-16,91 SPENCER AVE CO-OP,data redacted,91 SPENCER AV STE 100 TORONTO ON M6K 2K5 CA,91 SPENCER AVE CO-OP,"91 SPENCER AV STE 100 TORONTO, ON, M6K 2K5, CA",data redacted
12907,91 SPENCER AVE  TORONTO M6K 2K5 ON CA,EDLIC-012907,ACTIVE,29-Oct-17,91 SPENCER AVE CO-OP,data redacted,91 SPENCER AV STE 100 TORONTO ON M6K 2K5 CA,91 SPENCER AVE CO-OP,"91 SPENCER AV STE 100 TORONTO, ON, M6K 2K5, CA",data redacted
12909,36 KING ST E  TORONTO M5C 1E5 ON CA,264549,ACTIVE,15-Feb-17,36 KING STREET EAST LIMITED PARTNERSHIP,data redacted,505 UNIVERSITY AVE  TORONTO ON M5G 1X4 CA,36 KING STREET EAST LIMITED PARTNERSHIP,"505 UNIVERSITY AVE  TORONTO, ON, M5G 1X4, CA",data redacted
1291,200 GORDON ST  WHITBY L1G 2B9 ON CA,EDLIC-001291,CANCELLED_NOT_RENEWED,15-Apr-97,ONTARIO REALTY CORPORATION C/O PROFAC FACILITIES MGMT SERVICES  FMU 5,data redacted,590 ROSSLAND RD E UNIT B WHITBY ON L1N 9G5 CA,ONTARIO REALTY CORPORATION C/O PROFAC FACILITIES MGMT SERVICES  FMU 5,"590 ROSSLAND RD E UNIT B WHITBY, ON, L1N 9G5, CA",data redacted
12910,36 KING ST E  TORONTO M5C 1E5 ON CA,264550,ACTIVE,15-Feb-17,36 KING STREET EAST LIMITED PARTNERSHIP,data redacted,505 UNIVERSITY AVE  TORONTO ON M5G 1X4 CA,36 KING STREET EAST LIMITED PARTNERSHIP,"505 UNIVERSITY AVE  TORONTO, ON, M5G 1X4, CA",data redacted
12913,1055 VICTORIA PARK AVE  TORONTO M4B 2J8 ON CA,EDLIC-012913,ACTIVE,15-Apr-17,RIM GROUP LTD,data redacted,1055 VICTORIA PARK AVE  TORONTO ON M4B 2J8 CA,RIM GROUP LTD,"1055 VICTORIA PARK AVE  TORONTO, ON, M4B 2J8, CA",data redacted
