ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
35670,351 ISAAC BROCK DR  STONEY CREEK L8J 1Y1 ON CA,EDLIC-035670,ACTIVE,15-Aug-17,HERITAGE GREEN,data redacted,351 ISAAC BROCK RD  STONEY CREEK ON L8J 1Y1 CA,HERITAGE GREEN,"351 ISAAC BROCK RD  STONEY CREEK, ON, L8J 1Y1, CA",data redacted
35671,166 BROCK ST  KINGSTON K7L 5G2 ON CA,EDLIC-035671,ACTIVE,01-Apr-17,HOTEL DIEU HOSPITAL,data redacted,166 BROCK ST  KINGSTON ON K7L 5G2 CA,HOTEL DIEU HOSPITAL,"166 BROCK ST  KINGSTON, ON, K7L 5G2, CA",data redacted
35672,166 BROCK ST  KINGSTON K7L 5G2 ON CA,EDLIC-035672,ACTIVE,01-Apr-17,HOTEL DIEU HOSPITAL,data redacted,166 BROCK ST  KINGSTON ON K7L 5G2 CA,HOTEL DIEU HOSPITAL,"166 BROCK ST  KINGSTON, ON, K7L 5G2, CA",data redacted
35673,166 BROCK ST  KINGSTON K7L 5G2 ON CA,EDLIC-035673,ACTIVE,01-Apr-17,HOTEL DIEU HOSPITAL,data redacted,166 BROCK ST  KINGSTON ON K7L 5G2 CA,HOTEL DIEU HOSPITAL,"166 BROCK ST  KINGSTON, ON, K7L 5G2, CA",data redacted
35674,166 BROCK ST  KINGSTON K7L 5G2 ON CA,EDLIC-035674,ACTIVE,01-Apr-17,HOTEL DIEU HOSPITAL,data redacted,166 BROCK ST  KINGSTON ON K7L 5G2 CA,HOTEL DIEU HOSPITAL,"166 BROCK ST  KINGSTON, ON, K7L 5G2, CA",data redacted
35675,166 BROCK ST  KINGSTON K7L 5G2 ON CA,EDLIC-035675,ACTIVE,01-Apr-17,HOTEL DIEU HOSPITAL,data redacted,166 BROCK ST  KINGSTON ON K7L 5G2 CA,HOTEL DIEU HOSPITAL,"166 BROCK ST  KINGSTON, ON, K7L 5G2, CA",data redacted
35676,377 RIDEAU ST  OTTAWA K1N 5Y6 ON CA,EDLIC-035676,ACTIVE,15-Jul-17,CITY OF OTTAWA,data redacted,2799 SWANSEA CR  OTTAWA ON K1G 5X5 CA,CITY OF OTTAWA,"2799 SWANSEA CR  OTTAWA, ON, K1G 5X5, CA",data redacted
35679,8400 WOODBINE AVE  MARKHAM L3R 4N7 ON CA,EDLIC-035679,ACTIVE,15-Sep-17,EMIX LTD,data redacted,1004 EGLINTON AVE W  TORONTO ON M6C 2C5 CA,EMIX LTD,"1004 EGLINTON AVE W  TORONTO, ON, M6C 2C5, CA",data redacted
35680,1431 MERIVALE RD  OTTAWA K2E 1B9 ON CA,EDLIC-035680,ACTIVE,15-Oct-17,ARNON CORPORATION LIMITED - 1431 MERIVALE,data redacted,1801 WOODWARD DR  OTTAWA ON K2C 0R3 CA,ARNON CORPORATION LIMITED - 1431 MERIVALE,"1801 WOODWARD DR  OTTAWA, ON, K2C 0R3, CA",data redacted
35683,441 RICHMOND ST  LONDON N6A 6E2 ON CA,EDLIC-035683,ACTIVE,15-Jan-17,JIFFY PARK ENTERPRISES O/A MOXIE'S CLASSIC GRILL,data redacted,62 SCURFIELD BLVD Suite 26 WINNIPEG MB R3Y 1M5 CA,JIFFY PARK ENTERPRISES O/A MOXIE'S CLASSIC GRILL,"62 SCURFIELD BLVD Suite 26 WINNIPEG, MB, R3Y 1M5, CA",data redacted
35684,413 LINWELL RD  ST CATHARINES L2M 7Y2 ON CA,EDLIC-035684,ACTIVE,15-Oct-17,NIAGARA INA GRAFTON GAGE HOME,data redacted,413 LINWELL RD  ST CATHARINES ON L2M 7Y2 CA,NIAGARA INA GRAFTON GAGE HOME,"413 LINWELL RD  ST CATHARINES, ON, L2M 7Y2, CA",data redacted
